Day,Apple
2021-01-01,95
2021-01-02,98
2021-01-03,95
2021-01-04,96
2021-01-05,94
2021-01-06,91
2021-01-07,89
2021-01-08,94
2021-01-09,92
2021-01-10,93
2021-01-11,89
2021-01-12,84
2021-01-13,88
2021-01-14,86
2021-01-15,87
2021-01-16,86
2021-01-17,85
2021-01-18,80
2021-01-19,81
2021-01-20,83
2021-01-21,85
2021-01-22,87
2021-01-23,89
2021-01-24,82
2021-01-25,89
2021-01-26,85
2021-01-27,94
2021-01-28,96
2021-01-29,88
2021-01-30,84
2021-01-31,83
2021-02-01,84
2021-02-02,86
2021-02-03,87
2021-02-04,89
2021-02-05,84
2021-02-06,83
2021-02-07,77
2021-02-08,76
2021-02-09,78
2021-02-10,77
2021-02-11,76
2021-02-12,78
2021-02-13,77
2021-02-14,74
2021-02-15,74
2021-02-16,76
2021-02-17,74
2021-02-18,77
2021-02-19,78
2021-02-20,74
2021-02-21,76
2021-02-22,77
2021-02-23,82
2021-02-24,75
2021-02-25,76
2021-02-26,81
2021-02-27,75
2021-02-28,74
2021-03-01,76
2021-03-02,77
2021-03-03,75
2021-03-04,76
2021-03-05,76
2021-03-06,76
2021-03-07,77
2021-03-08,77
2021-03-09,82
2021-03-10,73
2021-03-11,78
2021-03-12,75
2021-03-13,79
2021-03-14,72
2021-03-15,71
2021-03-16,73
2021-03-17,75
2021-03-18,76
2021-03-19,75
2021-03-20,74
2021-03-21,74
2021-03-22,74
2021-03-23,73
2021-03-24,76
2021-03-25,72
2021-03-26,71
2021-03-27,74
2021-03-28,69
2021-03-29,74
2021-03-30,72
2021-03-31,71
2021-04-01,72
2021-04-02,71
2021-04-03,70
2021-04-04,68
2021-04-05,73
2021-04-06,72
2021-04-07,71
2021-04-08,70
2021-04-09,70
2021-04-10,70
2021-04-11,70
2021-04-12,68
2021-04-13,75
2021-04-14,71
2021-04-15,70
2021-04-16,68
2021-04-17,69
2021-04-18,67
2021-04-19,69
2021-04-20,97
2021-04-21,100
2021-04-22,81
2021-04-23,78
2021-04-24,77
2021-04-25,73
2021-04-26,77
2021-04-27,79
2021-04-28,81
2021-04-29,81
2021-04-30,81
2021-05-01,77
2021-05-02,75
2021-05-03,78
2021-05-04,80
2021-05-05,75
2021-05-06,76
2021-05-07,73
2021-05-08,73
2021-05-09,69
2021-05-10,75
2021-05-11,71
2021-05-12,71
2021-05-13,70
2021-05-14,74
2021-05-15,72
2021-05-16,71
2021-05-17,73
2021-05-18,70
2021-05-19,72
2021-05-20,75
2021-05-21,76
2021-05-22,76
2021-05-23,71
2021-05-24,76
2021-05-25,78
2021-05-26,73
2021-05-27,74
2021-05-28,73
2021-05-29,73
2021-05-30,72
2021-05-31,71
2021-06-01,74
2021-06-02,75
2021-06-03,73
2021-06-04,72
2021-06-05,72
2021-06-06,72
2021-06-07,84
2021-06-08,82
2021-06-09,76
2021-06-10,76
2021-06-11,73
2021-06-12,73
2021-06-13,73
2021-06-14,76
2021-06-15,75
2021-06-16,74
2021-06-17,74
2021-06-18,73
2021-06-19,73
2021-06-20,72
2021-06-21,76
2021-06-22,76
2021-06-23,72
2021-06-24,74
2021-06-25,74
2021-06-26,73
2021-06-27,74
2021-06-28,71
2021-06-29,70
2021-06-30,76
2021-07-01,74
2021-07-02,74
2021-07-03,72
2021-07-04,73
2021-07-05,71
2021-07-06,73
2021-07-07,74
2021-07-08,74
2021-07-09,77
2021-07-10,76
2021-07-11,71
2021-07-12,77
2021-07-13,74
2021-07-14,79
2021-07-15,75
2021-07-16,79
2021-07-17,78
2021-07-18,71
2021-07-19,77
2021-07-20,78
2021-07-21,77
2021-07-22,78
2021-07-23,75
2021-07-24,75
2021-07-25,75
2021-07-26,77
2021-07-27,79
2021-07-28,77
2021-07-29,76
2021-07-30,75
2021-07-31,73
2021-08-01,75
2021-08-02,76
2021-08-03,74
2021-08-04,74
2021-08-05,72
2021-08-06,76
2021-08-07,76
2021-08-08,76
2021-08-09,76
2021-08-10,78
2021-08-11,78
2021-08-12,74
2021-08-13,75
2021-08-14,71
2021-08-15,75
2021-08-16,76
2021-08-17,76
2021-08-18,80
2021-08-19,76
2021-08-20,78
2021-08-21,74
2021-08-22,78
2021-08-23,76
2021-08-24,86
2021-08-25,75
2021-08-26,76
2021-08-27,75
2021-08-28,78
2021-08-29,76
2021-08-30,80
2021-08-31,82
