,AAPL,AAPL,AAPL,AAPL,AAPL,TSLA,TSLA,TSLA,TSLA,TSLA
,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,
2021-01-04 00:00:00-05:00,133.52,133.6116,126.76,129.41,123353442,719.46,744.4899,717.1895,729.75,45293360
2021-01-05 00:00:00-05:00,128.89,131.74,128.43,130.95,85139362,723.66,740.84,719.2,735.055,28402584
2021-01-06 00:00:00-05:00,127.72,131.0499,126.382,126.58,142064548,758.49,774.0,749.1,756.46,41989335
2021-01-07 00:00:00-05:00,128.36,131.63,127.86,130.85,95314687,777.63,816.99,775.2,816.24,48080256
2021-01-08 00:00:00-05:00,132.43,132.63,130.23,131.99,93211863,856.0,884.49,838.39,880.03,71814487
2021-01-11 00:00:00-05:00,129.19,130.17,128.5,128.98,84845947,849.4,854.43,803.6222,811.18,55755718
2021-01-12 00:00:00-05:00,128.5,129.69,126.86,128.8199,83381829,831.0,868.0,827.34,849.22,43550554
2021-01-13 00:00:00-05:00,128.76,131.45,128.49,130.89,77928722,852.76,860.47,832.0,854.42,31050197
2021-01-14 00:00:00-05:00,130.8,131.0,128.76,128.92,78672922,843.39,863.0,838.75,844.21,29982086
2021-01-15 00:00:00-05:00,128.78,130.2242,127.0,127.07,97478662,852.0,859.9,819.1,826.16,36516827
2021-01-19 00:00:00-05:00,127.78,128.71,126.938,127.82,77372754,837.8,850.0,833.0,844.5,23300603
2021-01-20 00:00:00-05:00,128.66,132.49,128.55,131.97,90745056,858.74,859.5,837.28,850.65,23470840
2021-01-21 00:00:00-05:00,133.8,139.67,133.59,136.87,107349916,855.0,855.7199,841.4201,844.97,18601595
2021-01-22 00:00:00-05:00,136.28,139.85,135.02,138.9699,104455613,834.31,848.0,828.62,846.5,17732312
2021-01-25 00:00:00-05:00,143.07,145.09,136.54,142.9,142335837,855.0,900.4,838.8201,880.81,37892533
2021-01-26 00:00:00-05:00,143.6,144.3,141.37,143.185,85816874,891.38,895.9,871.6,883.46,22006144
2021-01-27 00:00:00-05:00,143.43,144.3,140.41,142.53,110342303,870.35,891.5,858.66,864.65,21415412
2021-01-28 00:00:00-05:00,139.52,141.99,136.7,137.04,127192871,820.0,848.0,801.0,835.48,24222992
2021-01-29 00:00:00-05:00,135.83,136.74,130.21,131.83,162479747,830.0003,842.41,782.27,793.311,20189293
2021-02-01 00:00:00-05:00,133.75,135.38,130.93,134.1,96660055,814.29,842.0,795.5601,840.0166,24005893
2021-02-02 00:00:00-05:00,135.73,136.31,134.61,134.98,73079171,844.68,880.5,842.2006,872.79,22980206
2021-02-03 00:00:00-05:00,135.76,135.77,133.61,133.9,76952077,877.02,878.08,853.0646,854.7,17541681
2021-02-04 00:00:00-05:00,136.3,137.4,134.59,137.4,71745898,855.0,856.5,833.42,849.99,15232160
2021-02-05 00:00:00-05:00,137.35,137.42,135.86,136.77,69111348,845.0,864.77,838.97,852.61,17486867
2021-02-08 00:00:00-05:00,136.03,136.96,134.92,136.9007,63184550,869.67,877.77,854.75,863.3,18036775
2021-02-09 00:00:00-05:00,136.62,137.877,135.85,136.0,70140432,855.12,859.8,841.75,849.25,14637362
2021-02-10 00:00:00-05:00,136.48,136.99,134.4,135.36,66856066,843.635,844.82,800.02,805.0,35012591
2021-02-11 00:00:00-05:00,135.9,136.39,133.77,135.12,59377028,812.44,829.8799,801.725,811.65,19600887
2021-02-12 00:00:00-05:00,134.35,135.53,133.6921,135.38,54861442,801.26,817.33,785.3306,816.04,22494684
2021-02-16 00:00:00-05:00,135.49,136.01,132.79,133.16,72596290,818.0,821.0,792.44,795.99,18606374
2021-02-17 00:00:00-05:00,131.25,132.22,129.47,130.84,92298227,779.09,799.84,762.01,798.25,24693013
2021-02-18 00:00:00-05:00,129.2,129.995,127.41,129.7127,90601312,780.9,794.69,776.27,787.3,16958719
2021-02-19 00:00:00-05:00,130.24,130.71,128.8,129.85,79960220,795.0,796.7899,777.37,781.5,18042330
2021-02-22 00:00:00-05:00,128.01,129.72,125.6,126.01,93993093,762.64,768.5,710.2,714.71,34459602
2021-02-23 00:00:00-05:00,123.76,126.71,118.39,125.85,148286878,662.13,713.6099,619.0,698.65,62398793
2021-02-24 00:00:00-05:00,124.94,125.56,122.23,125.32,102399167,711.85,745.0,694.17,742.02,34346288
2021-02-25 00:00:00-05:00,124.68,126.4585,120.54,121.0,134693926,726.15,737.2066,670.58,682.6,36814146
2021-02-26 00:00:00-05:00,122.59,124.85,121.2,121.2,135693674,700.0,706.7,659.51,671.01,36281006
2021-03-01 00:00:00-05:00,123.75,127.93,122.79,127.79,104597017,690.11,719.0,685.05,718.43,25668436
2021-03-02 00:00:00-05:00,128.41,128.72,125.01,125.1601,91481050,718.28,721.11,685.0,686.05,22603566
2021-03-03 00:00:00-05:00,124.81,125.71,121.84,122.06,99851557,687.99,700.7,651.705,652.22,28458545
2021-03-04 00:00:00-05:00,121.75,123.6,118.62,120.22,160007520,655.8,668.45,600.0,621.49,64229830
2021-03-05 00:00:00-05:00,120.98,121.935,117.57,121.39,143229410,626.06,627.8419,539.49,597.496,87887363
2021-03-08 00:00:00-05:00,120.93,121.0,116.21,116.4,141360327,600.55,620.125,558.79,562.97,49103227
2021-03-09 00:00:00-05:00,119.03,122.06,118.79,121.08,113086734,608.18,678.09,595.21,673.58,64124807
2021-03-10 00:00:00-05:00,121.69,122.17,119.45,119.97,104275213,700.3,717.85,655.06,668.27,57415384
2021-03-11 00:00:00-05:00,122.54,123.21,121.26,121.95,93149616,699.4,702.5,677.18,699.6,34074629
2021-03-12 00:00:00-05:00,120.4,121.17,119.16,121.05,82228604,670.0,694.88,666.1394,693.84,31862791
2021-03-15 00:00:00-04:00,121.41,124.0,120.42,124.0,79200260,694.09,713.18,684.04,707.94,28269001
2021-03-16 00:00:00-04:00,125.7,127.22,124.715,125.57,107714542,703.35,707.92,671.0,676.63,31258483
2021-03-17 00:00:00-04:00,124.05,125.8599,122.336,124.8,85394195,656.87,703.73,651.01,701.54,37888931
